model,prompt_label,n_total,n_pass,pass_rate,ci_lower_95,ci_upper_95,ci_width
deepseek-v3,Estricto,80,75,93.75,86.1899,97.3011,11.1112
deepseek-v3,Inductor,80,72,90.0,81.4893,94.8452,13.3559
deepseek-v3,Ultra,80,80,100.0,95.4182,100.0,4.5818
haiku,Estricto,80,80,100.0,95.4182,100.0,4.5818
haiku,Inductor,80,78,97.5,91.3356,99.3117,7.9761
haiku,Ultra,80,80,100.0,95.4182,100.0,4.5818
