model,prompt_label,avg_score,pass_rate
deepseek-v3,Estricto,0.94375,95.0
deepseek-v3,Inductor,0.9075,91.25
deepseek-v3,Ultra,0.9875,100.0
haiku,Estricto,0.99375,100.0
haiku,Inductor,0.9875,100.0
haiku,Ultra,0.9875,100.0
