model,prompt_label,pass_rate,sar,avg_score
deepseek-v3,Estricto,76.40449438202246,76.40449438202246,0.8820224719101124
deepseek-v3,Inductor,66.29213483146067,66.29213483146067,0.7078651685393258
deepseek-v3,Ultra,98.87640449438202,98.87640449438202,0.9943820224719101
haiku,Estricto,95.50561797752809,95.50561797752809,0.9606741573033708
haiku,Inductor,93.25842696629213,93.25842696629213,0.9438202247191011
haiku,Ultra,96.62921348314607,96.62921348314607,0.9662921348314607
