model,prompt_label,n_total,n_pass,pass_rate,ci_lower_95,ci_upper_95,ci_width
deepseek-v3,Estricto,80,76,95.0,87.8377,98.0386,10.2009
deepseek-v3,Inductor,80,76,95.0,87.8377,98.0386,10.2009
deepseek-v3,Ultra,80,79,98.75,93.2537,99.779,6.5253
haiku,Estricto,80,80,100.0,95.4182,100.0,4.5818
haiku,Inductor,80,78,97.5,91.3356,99.3117,7.9761
haiku,Ultra,80,80,100.0,95.4182,100.0,4.5818
