model,prompt_label,pass_rate,asr,avg_score
deepseek-v3,Estricto,95.0,5.0,0.94375
deepseek-v3,Inductor,95.0,5.0,0.9375
deepseek-v3,Ultra,98.75,1.25,0.9949999999999999
haiku,Estricto,100.0,0.0,0.98125
haiku,Inductor,97.5,2.5,0.9824999999999999
haiku,Ultra,100.0,0.0,0.9875
