model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.96875,100.0
gpt-oss-target,Inductor,0.9737500000000001,98.75
gpt-oss-target,Ultra,0.975,100.0
llama,Estricto,0.67,63.74999999999999
llama,Inductor,0.76125,60.0
llama,Ultra,0.59375,43.75
mistral-target,Estricto,0.9025000000000001,90.0
mistral-target,Inductor,0.7975,72.5
mistral-target,Ultra,0.9012499999999999,85.0
qwen-coder-target,Estricto,1.0,100.0
qwen-coder-target,Inductor,0.6575,51.24999999999999
qwen-coder-target,Ultra,1.0,100.0
