model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7044943820224719,42.69662921348314
gpt-oss-target,Inductor,0.449438202247191,16.853932584269664
gpt-oss-target,Ultra,0.9606741573033708,92.13483146067416
llama,Estricto,0.16853932584269662,1.1235955056179776
llama,Inductor,0.10224719101123596,2.247191011235955
llama,Ultra,0.22808988764044943,7.865168539325842
mistral-target,Estricto,0.8,70.78651685393258
mistral-target,Inductor,0.6595505617977528,65.1685393258427
mistral-target,Ultra,0.9044943820224719,87.64044943820225
qwen-coder-target,Estricto,0.6314606741573034,59.55056179775281
qwen-coder-target,Inductor,0.1595505617977528,11.235955056179774
qwen-coder-target,Ultra,0.8707865168539326,76.40449438202246
