model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,42.69662921348314,42.69662921348314,0.7044943820224719
gpt-oss-target,Inductor,16.853932584269664,16.853932584269664,0.449438202247191
gpt-oss-target,Ultra,92.13483146067416,92.13483146067416,0.9606741573033708
llama,Estricto,1.1235955056179776,1.1235955056179776,0.16853932584269662
llama,Inductor,2.247191011235955,2.247191011235955,0.10224719101123596
llama,Ultra,7.865168539325842,7.865168539325842,0.22808988764044943
mistral-target,Estricto,70.78651685393258,70.78651685393258,0.8
mistral-target,Inductor,65.1685393258427,65.1685393258427,0.6595505617977528
mistral-target,Ultra,87.64044943820225,87.64044943820225,0.9044943820224719
qwen-coder-target,Estricto,59.55056179775281,59.55056179775281,0.6314606741573034
qwen-coder-target,Inductor,11.235955056179774,11.235955056179774,0.1595505617977528
qwen-coder-target,Ultra,76.40449438202246,76.40449438202246,0.8707865168539326
