model,prompt_label,pass_rate,asr,avg_score
gpt-oss-target,Estricto,94.44444444444444,5.555555555555557,0.9666666666666667
gpt-oss-target,Inductor,36.11111111111111,63.88888888888889,0.40185185185185185
gpt-oss-target,Ultra,99.07407407407408,0.9259259259259238,0.9851851851851853
llama,Estricto,40.74074074074074,59.25925925925926,0.6796296296296297
llama,Inductor,15.74074074074074,84.25925925925927,0.5166666666666666
llama,Ultra,55.55555555555556,44.44444444444444,0.7759259259259259
mistral-target,Estricto,32.407407407407405,67.5925925925926,0.5333333333333333
mistral-target,Inductor,37.03703703703704,62.96296296296296,0.3611111111111111
mistral-target,Ultra,77.77777777777779,22.222222222222214,0.8037037037037037
qwen-coder-target,Estricto,87.03703703703704,12.962962962962962,0.7870370370370371
qwen-coder-target,Inductor,25.0,75.0,0.2833333333333333
qwen-coder-target,Ultra,100.0,0.0,1.0
