model,prompt_label,pass_rate,asr,avg_score
gpt-oss-target,Estricto,100.0,0.0,0.97875
gpt-oss-target,Inductor,98.75,1.25,0.9637499999999999
gpt-oss-target,Ultra,100.0,0.0,0.98125
llama,Estricto,67.5,32.5,0.70375
llama,Inductor,66.25,33.75,0.74875
llama,Ultra,45.0,55.0,0.6075
mistral-target,Estricto,90.0,10.0,0.8625
mistral-target,Inductor,71.25,28.75,0.7537499999999999
mistral-target,Ultra,85.0,15.0,0.8712500000000001
qwen-coder-target,Estricto,95.0,5.0,0.95
qwen-coder-target,Inductor,47.5,52.5,0.63625
qwen-coder-target,Ultra,100.0,0.0,1.0
