model,prompt_label,n_total,strict_pass_rate,strict_asr
deepseek-v3,Estricto,108,100.0,0.0
deepseek-v3,Inductor,108,53.70370370370371,46.29629629629629
deepseek-v3,Ultra,108,100.0,0.0
haiku,Estricto,108,99.07407407407408,0.9259259259259238
haiku,Inductor,108,95.37037037037037,4.629629629629633
haiku,Ultra,108,97.22222222222221,2.7777777777777857
