model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.6539325842696629,33.70786516853933
gpt-oss-target,Inductor,0.4629213483146068,17.97752808988764
gpt-oss-target,Ultra,0.9685393258426966,94.3820224719101
llama,Estricto,0.15393258426966294,1.1235955056179776
llama,Inductor,0.10449438202247192,1.1235955056179776
llama,Ultra,0.19775280898876407,4.49438202247191
mistral-target,Estricto,0.8426966292134831,74.15730337078652
mistral-target,Inductor,0.6573033707865169,65.1685393258427
mistral-target,Ultra,0.9382022471910112,93.25842696629213
qwen-coder-target,Estricto,0.6157303370786517,57.30337078651685
qwen-coder-target,Inductor,0.18314606741573033,13.48314606741573
qwen-coder-target,Ultra,0.8876404494382022,77.52808988764045
