model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7067415730337079,42.69662921348314
gpt-oss-target,Inductor,0.45393258426966293,13.48314606741573
gpt-oss-target,Ultra,0.9606741573033708,92.13483146067416
llama,Estricto,0.16516853932584272,1.1235955056179776
llama,Inductor,0.0898876404494382,2.247191011235955
llama,Ultra,0.1707865168539326,2.247191011235955
mistral-target,Estricto,0.7730337078651686,66.29213483146067
mistral-target,Inductor,0.7078651685393258,70.78651685393258
mistral-target,Ultra,0.9550561797752809,95.50561797752809
qwen-coder-target,Estricto,0.6325842696629214,59.55056179775281
qwen-coder-target,Inductor,0.12808988764044943,7.865168539325842
qwen-coder-target,Ultra,0.848314606741573,70.78651685393258
