model,prompt_label,avg_score,pass_rate
deepseek-v3,Estricto,0.8777777777777778,80.55555555555556
deepseek-v3,Inductor,0.3166666666666667,14.814814814814813
deepseek-v3,Ultra,0.9962962962962962,100.0
haiku,Estricto,0.41851851851851857,4.62962962962963
haiku,Inductor,0.46481481481481485,17.59259259259259
haiku,Ultra,0.7814814814814816,65.74074074074075
