model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.975,100.0
gpt-oss-target,Inductor,0.9550000000000001,98.75
gpt-oss-target,Ultra,0.96875,100.0
llama,Estricto,0.675,66.25
llama,Inductor,0.75875,57.49999999999999
llama,Ultra,0.5575,46.25
mistral-target,Estricto,0.9087500000000001,88.75
mistral-target,Inductor,0.76625,71.25
mistral-target,Ultra,0.8875,85.0
qwen-coder-target,Estricto,0.9650000000000001,96.25
qwen-coder-target,Inductor,0.67625,52.5
qwen-coder-target,Ultra,0.9949999999999999,98.75
