strategy,model,comparison,delta_p,delta_p_pct,pass_rate_from,pass_rate_to,ci_lower_from,ci_upper_from,ci_lower_to,ci_upper_to,ci_width_from,ci_width_to
S1_locals,gpt-oss-target,Inductor → Estricto,2.5,2.50%,96.25,98.75,89.5453,98.7165,93.2537,99.779,9.1712,6.5253
S1_locals,gpt-oss-target,Inductor → Ultra,1.25,1.25%,96.25,97.5,89.5453,98.7165,91.3356,99.3117,9.1712,7.9761
S1_locals,gpt-oss-target,Estricto → Ultra,-1.25,-1.25%,98.75,97.5,93.2537,99.779,91.3356,99.3117,6.5253,7.9761
S1_locals,llama,Inductor → Estricto,6.25,6.25%,56.25,62.5,45.3411,66.5861,51.5487,72.3058,21.245,20.7571
S1_locals,llama,Inductor → Ultra,-7.5,-7.50%,56.25,48.75,45.3411,66.5861,38.1079,59.5067,21.245,21.3988
S1_locals,llama,Estricto → Ultra,-13.75,-13.75%,62.5,48.75,51.5487,72.3058,38.1079,59.5067,20.7571,21.3988
S1_locals,mistral-target,Inductor → Estricto,15.0,15.00%,70.0,85.0,59.2318,78.9354,75.5868,91.206,19.7036,15.6192
S1_locals,mistral-target,Inductor → Ultra,15.0,15.00%,70.0,85.0,59.2318,78.9354,75.5868,91.206,19.7036,15.6192
S1_locals,mistral-target,Estricto → Ultra,0.0,0.00%,85.0,85.0,75.5868,91.206,75.5868,91.206,15.6192,15.6192
S1_locals,qwen-coder-target,Inductor → Estricto,42.5,42.50%,52.5,95.0,41.6956,63.0753,87.8377,98.0386,21.3797,10.2009
S1_locals,qwen-coder-target,Inductor → Ultra,47.5,47.50%,52.5,100.0,41.6956,63.0753,95.4182,100.0,21.3797,4.5818
S1_locals,qwen-coder-target,Estricto → Ultra,5.0,5.00%,95.0,100.0,87.8377,98.0386,95.4182,100.0,10.2009,4.5818
