model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,12078.9625
gpt-oss-target,Inductor,9451.1125
gpt-oss-target,Ultra,10429.7625
llama,Estricto,641.3
llama,Inductor,619.875
llama,Ultra,598.7
mistral-target,Estricto,1167.05
mistral-target,Inductor,1397.4875
mistral-target,Ultra,1319.45
qwen-coder-target,Estricto,695.6375
qwen-coder-target,Inductor,919.725
qwen-coder-target,Ultra,674.8
