strategy,model,comparison,delta_p,delta_p_pct,pass_rate_from,pass_rate_to,ci_lower_from,ci_upper_from,ci_lower_to,ci_upper_to,ci_width_from,ci_width_to
S1_commercial,deepseek-v3,Inductor → Estricto,3.75,3.75%,90.0,93.75,81.4893,94.8452,86.1899,97.3011,13.3559,11.1112
S1_commercial,deepseek-v3,Inductor → Ultra,10.0,10.00%,90.0,100.0,81.4893,94.8452,95.4182,100.0,13.3559,4.5818
S1_commercial,deepseek-v3,Estricto → Ultra,6.25,6.25%,93.75,100.0,86.1899,97.3011,95.4182,100.0,11.1112,4.5818
S1_commercial,haiku,Inductor → Estricto,2.5,2.50%,97.5,100.0,91.3356,99.3117,95.4182,100.0,7.9761,4.5818
S1_commercial,haiku,Inductor → Ultra,2.5,2.50%,97.5,100.0,91.3356,99.3117,95.4182,100.0,7.9761,4.5818
S1_commercial,haiku,Estricto → Ultra,0.0,0.00%,100.0,100.0,95.4182,100.0,95.4182,100.0,4.5818,4.5818
