model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,33.70786516853933,33.70786516853933,0.6539325842696629
gpt-oss-target,Inductor,17.97752808988764,17.97752808988764,0.4629213483146068
gpt-oss-target,Ultra,94.3820224719101,94.3820224719101,0.9685393258426966
llama,Estricto,1.1235955056179776,1.1235955056179776,0.15393258426966294
llama,Inductor,1.1235955056179776,1.1235955056179776,0.10449438202247192
llama,Ultra,4.49438202247191,4.49438202247191,0.19775280898876407
mistral-target,Estricto,74.15730337078652,74.15730337078652,0.8426966292134831
mistral-target,Inductor,65.1685393258427,65.1685393258427,0.6573033707865169
mistral-target,Ultra,93.25842696629213,93.25842696629213,0.9382022471910112
qwen-coder-target,Estricto,57.30337078651685,57.30337078651685,0.6157303370786517
qwen-coder-target,Inductor,13.48314606741573,13.48314606741573,0.18314606741573033
qwen-coder-target,Ultra,77.52808988764045,77.52808988764045,0.8876404494382022
