model,prompt_label,avg_score,pass_rate
deepseek-v3,Estricto,0.8666666666666666,78.70370370370371
deepseek-v3,Inductor,0.3222222222222222,16.666666666666664
deepseek-v3,Ultra,0.9962962962962962,100.0
haiku,Estricto,0.4074074074074074,3.7037037037037033
haiku,Inductor,0.42592592592592593,12.962962962962962
haiku,Ultra,0.7722222222222223,63.888888888888886
