strategy,source,interrun_stdev_pp_temp0,interrun_stdev_pp_temp07,interrun_stdev_pp_temp1,interrun_stdev_pp_avg,intertemp_range_pp_avg,intertemp_stdev_pp_avg
S3,commercial,1.124,0.936,1.405,1.155,2.996,1.241
S3,locals,1.03,1.311,1.545,1.295,3.839,1.619
