model,prompt_label,pass_rate,asr,avg_score
gpt-oss-target,Estricto,100.0,0.0,0.9800000000000001
gpt-oss-target,Inductor,97.5,2.5,0.95625
gpt-oss-target,Ultra,98.75,1.25,0.96
llama,Estricto,65.0,35.0,0.7175
llama,Inductor,62.5,37.5,0.7625
llama,Ultra,52.5,47.5,0.5900000000000001
mistral-target,Estricto,88.75,11.25,0.88375
mistral-target,Inductor,67.5,32.5,0.7775000000000001
mistral-target,Ultra,92.5,7.5,0.9075
qwen-coder-target,Estricto,98.75,1.25,0.9724999999999999
qwen-coder-target,Inductor,48.75,51.25,0.64125
qwen-coder-target,Ultra,100.0,0.0,1.0
