model,prompt_label,pass_rate,sar,avg_score
deepseek-v3,Estricto,77.52808988764045,77.52808988764045,0.8876404494382022
deepseek-v3,Inductor,64.04494382022472,64.04494382022472,0.7033707865168539
deepseek-v3,Ultra,98.87640449438202,98.87640449438202,0.9943820224719101
haiku,Estricto,98.87640449438202,98.87640449438202,0.9887640449438202
haiku,Inductor,92.13483146067416,92.13483146067416,0.9269662921348315
haiku,Ultra,93.25842696629213,93.25842696629213,0.9325842696629213
