strategy,source,model,prompt_label,mean_temp0,mean_temp07,mean_temp1,range_pp,stdev_pp
S2,commercial,deepseek-v3,Estricto,83.333,79.63,80.093,3.704,1.648
S2,commercial,deepseek-v3,Inductor,18.981,17.593,17.593,1.389,0.655
S2,commercial,deepseek-v3,Ultra,99.537,100.0,100.0,0.463,0.218
S2,commercial,haiku,Estricto,4.63,5.093,6.944,2.315,1.0
S2,commercial,haiku,Inductor,17.13,13.889,13.426,3.704,1.648
S2,commercial,haiku,Ultra,65.278,61.111,60.648,4.63,2.082
S2,locals,gpt-oss-target,Estricto,95.37,97.222,95.833,1.852,0.787
S2,locals,gpt-oss-target,Inductor,31.482,31.944,34.259,2.778,1.215
S2,locals,gpt-oss-target,Ultra,99.074,97.685,98.148,1.389,0.577
S2,locals,llama,Estricto,37.963,36.574,37.5,1.389,0.577
S2,locals,llama,Inductor,16.667,17.593,18.981,2.315,0.951
S2,locals,llama,Ultra,40.741,46.296,54.63,13.889,5.708
S2,locals,mistral-target,Estricto,33.333,27.778,29.167,5.556,2.361
S2,locals,mistral-target,Inductor,33.796,38.889,34.722,5.093,2.215
S2,locals,mistral-target,Ultra,81.019,76.389,76.852,4.63,2.082
S2,locals,qwen-coder-target,Estricto,92.593,87.037,87.037,5.556,2.619
S2,locals,qwen-coder-target,Inductor,24.074,24.074,26.389,2.315,1.091
S2,locals,qwen-coder-target,Ultra,100.0,100.0,100.0,0.0,0.0
