model,prompt_label,pass_rate,asr,avg_score
deepseek-v3,Estricto,93.75,6.25,0.9324999999999999
deepseek-v3,Inductor,90.0,10.0,0.9012499999999999
deepseek-v3,Ultra,100.0,0.0,0.99375
haiku,Estricto,100.0,0.0,0.9875
haiku,Inductor,97.5,2.5,0.9824999999999999
haiku,Ultra,100.0,0.0,0.9875
