model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9796296296296296,97.22222222222221
gpt-oss-target,Inductor,0.3907407407407408,32.407407407407405
gpt-oss-target,Ultra,0.9851851851851853,97.22222222222221
llama,Estricto,0.6703703703703704,34.25925925925926
llama,Inductor,0.5722222222222222,22.22222222222222
llama,Ultra,0.7814814814814816,53.70370370370371
mistral-target,Estricto,0.5296296296296297,25.925925925925924
mistral-target,Inductor,0.34814814814814815,32.407407407407405
mistral-target,Ultra,0.811111111111111,75.92592592592592
qwen-coder-target,Estricto,0.8148148148148148,87.03703703703704
qwen-coder-target,Inductor,0.3074074074074074,27.77777777777778
qwen-coder-target,Ultra,1.0,100.0
