strategy,source,model,prompt_label,temp,1,2,interrun_range_pp,interrun_stdev_pp
S1,commercial,deepseek-v3,Estricto,0,93.75,95.0,1.25,0.625
S1,commercial,deepseek-v3,Estricto,07,93.75,93.75,0.0,0.0
S1,commercial,deepseek-v3,Estricto,1,92.5,95.0,2.5,1.25
S1,commercial,deepseek-v3,Inductor,0,90.0,95.0,5.0,2.5
S1,commercial,deepseek-v3,Inductor,07,92.5,88.75,3.75,1.875
S1,commercial,deepseek-v3,Inductor,1,90.0,91.25,1.25,0.625
S1,commercial,deepseek-v3,Ultra,0,100.0,98.75,1.25,0.625
S1,commercial,deepseek-v3,Ultra,07,100.0,98.75,1.25,0.625
S1,commercial,deepseek-v3,Ultra,1,98.75,100.0,1.25,0.625
S1,commercial,haiku,Estricto,0,100.0,100.0,0.0,0.0
S1,commercial,haiku,Estricto,07,100.0,100.0,0.0,0.0
S1,commercial,haiku,Estricto,1,100.0,100.0,0.0,0.0
S1,commercial,haiku,Inductor,0,97.5,97.5,0.0,0.0
S1,commercial,haiku,Inductor,07,98.75,91.25,7.5,3.75
S1,commercial,haiku,Inductor,1,95.0,100.0,5.0,2.5
S1,commercial,haiku,Ultra,0,100.0,100.0,0.0,0.0
S1,commercial,haiku,Ultra,07,100.0,100.0,0.0,0.0
S1,commercial,haiku,Ultra,1,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Estricto,0,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Estricto,07,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Estricto,1,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Inductor,0,98.75,98.75,0.0,0.0
S1,locals,gpt-oss-target,Inductor,07,97.5,98.75,1.25,0.625
S1,locals,gpt-oss-target,Inductor,1,97.5,98.75,1.25,0.625
S1,locals,gpt-oss-target,Ultra,0,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Ultra,07,100.0,100.0,0.0,0.0
S1,locals,gpt-oss-target,Ultra,1,98.75,100.0,1.25,0.625
S1,locals,llama,Estricto,0,63.75,63.75,0.0,0.0
S1,locals,llama,Estricto,07,63.75,66.25,2.5,1.25
S1,locals,llama,Estricto,1,65.0,67.5,2.5,1.25
S1,locals,llama,Inductor,0,60.0,60.0,0.0,0.0
S1,locals,llama,Inductor,07,60.0,57.5,2.5,1.25
S1,locals,llama,Inductor,1,62.5,66.25,3.75,1.875
S1,locals,llama,Ultra,0,43.75,43.75,0.0,0.0
S1,locals,llama,Ultra,07,43.75,46.25,2.5,1.25
S1,locals,llama,Ultra,1,52.5,45.0,7.5,3.75
S1,locals,mistral-target,Estricto,0,90.0,90.0,0.0,0.0
S1,locals,mistral-target,Estricto,07,90.0,88.75,1.25,0.625
S1,locals,mistral-target,Estricto,1,88.75,90.0,1.25,0.625
S1,locals,mistral-target,Inductor,0,73.75,72.5,1.25,0.625
S1,locals,mistral-target,Inductor,07,73.75,71.25,2.5,1.25
S1,locals,mistral-target,Inductor,1,67.5,71.25,3.75,1.875
S1,locals,mistral-target,Ultra,0,83.75,85.0,1.25,0.625
S1,locals,mistral-target,Ultra,07,83.75,85.0,1.25,0.625
S1,locals,mistral-target,Ultra,1,92.5,85.0,7.5,3.75
S1,locals,qwen-coder-target,Estricto,0,100.0,100.0,0.0,0.0
S1,locals,qwen-coder-target,Estricto,07,100.0,96.25,3.75,1.875
S1,locals,qwen-coder-target,Estricto,1,98.75,95.0,3.75,1.875
S1,locals,qwen-coder-target,Inductor,0,51.25,51.25,0.0,0.0
S1,locals,qwen-coder-target,Inductor,07,51.25,52.5,1.25,0.625
S1,locals,qwen-coder-target,Inductor,1,48.75,47.5,1.25,0.625
S1,locals,qwen-coder-target,Ultra,0,100.0,100.0,0.0,0.0
S1,locals,qwen-coder-target,Ultra,07,100.0,98.75,1.25,0.625
S1,locals,qwen-coder-target,Ultra,1,100.0,100.0,0.0,0.0
