model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,43.82022471910113,43.82022471910113,0.7101123595505618
gpt-oss-target,Inductor,16.853932584269664,16.853932584269664,0.4101123595505618
gpt-oss-target,Ultra,93.25842696629213,93.25842696629213,0.9606741573033708
llama,Estricto,1.1235955056179776,1.1235955056179776,0.17865168539325843
llama,Inductor,1.1235955056179776,1.1235955056179776,0.08202247191011237
llama,Ultra,3.3707865168539324,3.3707865168539324,0.19775280898876407
mistral-target,Estricto,71.91011235955057,71.91011235955057,0.8033707865168539
mistral-target,Inductor,73.03370786516854,73.03370786516854,0.7359550561797753
mistral-target,Ultra,94.3820224719101,94.3820224719101,0.949438202247191
qwen-coder-target,Estricto,53.93258426966292,53.93258426966292,0.6089887640449438
qwen-coder-target,Inductor,17.97752808988764,17.97752808988764,0.2258426966292135
qwen-coder-target,Ultra,70.78651685393258,70.78651685393258,0.8426966292134831
