strategy,model,comparison,delta_p,delta_p_pct,pass_rate_from,pass_rate_to,ci_lower_from,ci_upper_from,ci_lower_to,ci_upper_to,ci_width_from,ci_width_to
S1_locals,gpt-oss-target,Inductor → Estricto,1.25,1.25%,98.75,100.0,93.2537,99.779,95.4182,100.0,6.5253,4.5818
S1_locals,gpt-oss-target,Inductor → Ultra,1.25,1.25%,98.75,100.0,93.2537,99.779,95.4182,100.0,6.5253,4.5818
S1_locals,gpt-oss-target,Estricto → Ultra,0.0,0.00%,100.0,100.0,95.4182,100.0,95.4182,100.0,4.5818,4.5818
S1_locals,llama,Inductor → Estricto,3.75,3.75%,60.0,63.75,49.0455,70.0382,52.8108,73.4292,20.9927,20.6184
S1_locals,llama,Inductor → Ultra,-16.25,-16.25%,60.0,43.75,49.0455,70.0382,33.4139,54.6589,20.9927,21.245
S1_locals,llama,Estricto → Ultra,-20.0,-20.00%,63.75,43.75,52.8108,73.4292,33.4139,54.6589,20.6184,21.245
S1_locals,mistral-target,Inductor → Estricto,16.25,16.25%,73.75,90.0,63.181,82.1426,81.4893,94.8452,18.9616,13.3559
S1_locals,mistral-target,Inductor → Ultra,10.0,10.00%,73.75,83.75,63.181,82.1426,74.1571,90.2502,18.9616,16.0931
S1_locals,mistral-target,Estricto → Ultra,-6.25,-6.25%,90.0,83.75,81.4893,94.8452,74.1571,90.2502,13.3559,16.0931
S1_locals,qwen-coder-target,Inductor → Estricto,48.75,48.75%,51.25,100.0,40.4933,61.8921,95.4182,100.0,21.3988,4.5818
S1_locals,qwen-coder-target,Inductor → Ultra,48.75,48.75%,51.25,100.0,40.4933,61.8921,95.4182,100.0,21.3988,4.5818
S1_locals,qwen-coder-target,Estricto → Ultra,0.0,0.00%,100.0,100.0,95.4182,100.0,95.4182,100.0,4.5818,4.5818
