model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.6696629213483146,37.07865168539326
gpt-oss-target,Inductor,0.44831460674157303,19.101123595505616
gpt-oss-target,Ultra,0.9662921348314607,94.3820224719101
llama,Estricto,0.17303370786516856,1.1235955056179776
llama,Inductor,0.09101123595505617,2.247191011235955
llama,Ultra,0.25280898876404495,7.865168539325842
mistral-target,Estricto,0.8191011235955057,71.91011235955057
mistral-target,Inductor,0.7471910112359551,74.15730337078652
mistral-target,Ultra,0.9606741573033708,94.3820224719101
qwen-coder-target,Estricto,0.6528089887640449,60.67415730337079
qwen-coder-target,Inductor,0.18876404494382024,13.48314606741573
qwen-coder-target,Ultra,0.898876404494382,79.7752808988764
