model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.7044943820224719,41.57303370786517
gpt-oss-target,Inductor,0.5359550561797753,24.719101123595504
gpt-oss-target,Ultra,0.9662921348314607,93.25842696629213
llama,Estricto,0.16741573033707866,1.1235955056179776
llama,Inductor,0.1,2.247191011235955
llama,Ultra,0.18988764044943823,4.49438202247191
mistral-target,Estricto,0.7707865168539325,65.1685393258427
mistral-target,Inductor,0.6853932584269663,68.53932584269663
mistral-target,Ultra,0.9775280898876404,97.75280898876404
qwen-coder-target,Estricto,0.6123595505617978,57.30337078651685
qwen-coder-target,Inductor,0.1449438202247191,8.98876404494382
qwen-coder-target,Ultra,0.848314606741573,70.78651685393258
