model,prompt_label,pass_rate,sar,avg_score
gpt-oss-target,Estricto,41.57303370786517,41.57303370786517,0.7044943820224719
gpt-oss-target,Inductor,24.719101123595504,24.719101123595504,0.5359550561797753
gpt-oss-target,Ultra,93.25842696629213,93.25842696629213,0.9662921348314607
llama,Estricto,1.1235955056179776,1.1235955056179776,0.16741573033707866
llama,Inductor,2.247191011235955,2.247191011235955,0.1
llama,Ultra,4.49438202247191,4.49438202247191,0.18988764044943823
mistral-target,Estricto,65.1685393258427,65.1685393258427,0.7707865168539325
mistral-target,Inductor,68.53932584269663,68.53932584269663,0.6853932584269663
mistral-target,Ultra,97.75280898876404,97.75280898876404,0.9775280898876404
qwen-coder-target,Estricto,57.30337078651685,57.30337078651685,0.6123595505617978
qwen-coder-target,Inductor,8.98876404494382,8.98876404494382,0.1449438202247191
qwen-coder-target,Ultra,70.78651685393258,70.78651685393258,0.848314606741573
