model,prompt_label,avg_latency_ms
gpt-oss-target,Estricto,6731.075
gpt-oss-target,Inductor,16935.2875
gpt-oss-target,Ultra,4052.3375
llama,Estricto,709.75
llama,Inductor,993.15
llama,Ultra,684.05
mistral-target,Estricto,7106.2625
mistral-target,Inductor,1459.9
mistral-target,Ultra,812.9875
qwen-coder-target,Estricto,630.2125
qwen-coder-target,Inductor,1144.5125
qwen-coder-target,Ultra,584.8375
