strategy,source,interrun_stdev_pp_temp0,interrun_stdev_pp_temp07,interrun_stdev_pp_temp1,interrun_stdev_pp_avg,intertemp_range_pp_avg,intertemp_stdev_pp_avg
S2,commercial,1.389,1.158,1.543,1.363,2.701,1.208
S2,locals,0.309,1.312,1.62,1.08,3.897,1.682
