strategy,source,model,prompt_label,temp,1,2,interrun_range_pp,interrun_stdev_pp
S2,commercial,deepseek-v3,Estricto,0,80.556,86.111,5.555,2.778
S2,commercial,deepseek-v3,Estricto,07,80.556,78.704,1.852,0.926
S2,commercial,deepseek-v3,Estricto,1,80.556,79.63,0.926,0.463
S2,commercial,deepseek-v3,Inductor,0,14.815,23.148,8.333,4.167
S2,commercial,deepseek-v3,Inductor,07,18.518,16.667,1.852,0.926
S2,commercial,deepseek-v3,Inductor,1,19.444,15.741,3.704,1.852
S2,commercial,deepseek-v3,Ultra,0,100.0,99.074,0.926,0.463
S2,commercial,deepseek-v3,Ultra,07,100.0,100.0,0.0,0.0
S2,commercial,deepseek-v3,Ultra,1,100.0,100.0,0.0,0.0
S2,commercial,haiku,Estricto,0,4.63,4.63,0.0,0.0
S2,commercial,haiku,Estricto,07,6.482,3.704,2.778,1.389
S2,commercial,haiku,Estricto,1,7.407,6.482,0.926,0.463
S2,commercial,haiku,Inductor,0,17.593,16.667,0.926,0.463
S2,commercial,haiku,Inductor,07,14.815,12.963,1.852,0.926
S2,commercial,haiku,Inductor,1,17.593,9.259,8.333,4.167
S2,commercial,haiku,Ultra,0,65.741,64.815,0.926,0.463
S2,commercial,haiku,Ultra,07,58.333,63.889,5.556,2.778
S2,commercial,haiku,Ultra,1,62.963,58.333,4.63,2.315
S2,locals,gpt-oss-target,Estricto,0,94.444,96.296,1.852,0.926
S2,locals,gpt-oss-target,Estricto,07,97.222,97.222,0.0,0.0
S2,locals,gpt-oss-target,Estricto,1,97.222,94.444,2.778,1.389
S2,locals,gpt-oss-target,Inductor,0,32.407,30.556,1.852,0.926
S2,locals,gpt-oss-target,Inductor,07,31.482,32.407,0.926,0.463
S2,locals,gpt-oss-target,Inductor,1,32.407,36.111,3.704,1.852
S2,locals,gpt-oss-target,Ultra,0,99.074,99.074,0.0,0.0
S2,locals,gpt-oss-target,Ultra,07,95.37,100.0,4.63,2.315
S2,locals,gpt-oss-target,Ultra,1,97.222,99.074,1.852,0.926
S2,locals,llama,Estricto,0,37.963,37.963,0.0,0.0
S2,locals,llama,Estricto,07,35.185,37.963,2.778,1.389
S2,locals,llama,Estricto,1,34.259,40.741,6.481,3.241
S2,locals,llama,Inductor,0,16.667,16.667,0.0,0.0
S2,locals,llama,Inductor,07,17.593,17.593,0.0,0.0
S2,locals,llama,Inductor,1,22.222,15.741,6.482,3.241
S2,locals,llama,Ultra,0,40.741,40.741,0.0,0.0
S2,locals,llama,Ultra,07,44.444,48.148,3.704,1.852
S2,locals,llama,Ultra,1,53.704,55.556,1.852,0.926
S2,locals,mistral-target,Estricto,0,34.259,32.407,1.852,0.926
S2,locals,mistral-target,Estricto,07,26.852,28.704,1.852,0.926
S2,locals,mistral-target,Estricto,1,25.926,32.407,6.482,3.241
S2,locals,mistral-target,Inductor,0,33.333,34.259,0.926,0.463
S2,locals,mistral-target,Inductor,07,41.667,36.111,5.556,2.778
S2,locals,mistral-target,Inductor,1,32.407,37.037,4.63,2.315
S2,locals,mistral-target,Ultra,0,81.482,80.556,0.926,0.463
S2,locals,mistral-target,Ultra,07,77.778,75.0,2.778,1.389
S2,locals,mistral-target,Ultra,1,75.926,77.778,1.852,0.926
S2,locals,qwen-coder-target,Estricto,0,92.593,92.593,0.0,0.0
S2,locals,qwen-coder-target,Estricto,07,83.333,90.741,7.407,3.704
S2,locals,qwen-coder-target,Estricto,1,87.037,87.037,0.0,0.0
S2,locals,qwen-coder-target,Inductor,0,24.074,24.074,0.0,0.0
S2,locals,qwen-coder-target,Inductor,07,25.0,23.148,1.852,0.926
S2,locals,qwen-coder-target,Inductor,1,27.778,25.0,2.778,1.389
S2,locals,qwen-coder-target,Ultra,0,100.0,100.0,0.0,0.0
S2,locals,qwen-coder-target,Ultra,07,100.0,100.0,0.0,0.0
S2,locals,qwen-coder-target,Ultra,1,100.0,100.0,0.0,0.0
