model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9740740740740741,96.29629629629629
gpt-oss-target,Inductor,0.35555555555555557,30.555555555555557
gpt-oss-target,Ultra,0.9888888888888888,99.07407407407408
llama,Estricto,0.7092592592592593,37.96296296296296
llama,Inductor,0.6,16.666666666666664
llama,Ultra,0.7425925925925926,40.74074074074074
mistral-target,Estricto,0.5537037037037037,32.407407407407405
mistral-target,Inductor,0.2962962962962963,34.25925925925926
mistral-target,Ultra,0.825925925925926,80.55555555555556
qwen-coder-target,Estricto,0.8851851851851852,92.5925925925926
qwen-coder-target,Inductor,0.2574074074074074,24.074074074074073
qwen-coder-target,Ultra,1.0,100.0
