model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9777777777777777,97.22222222222221
gpt-oss-target,Inductor,0.38148148148148153,32.407407407407405
gpt-oss-target,Ultra,0.9962962962962962,100.0
llama,Estricto,0.6907407407407407,37.96296296296296
llama,Inductor,0.5685185185185185,17.59259259259259
llama,Ultra,0.7648148148148147,48.148148148148145
mistral-target,Estricto,0.5444444444444444,28.703703703703702
mistral-target,Inductor,0.3444444444444444,36.11111111111111
mistral-target,Ultra,0.8333333333333334,75.0
qwen-coder-target,Estricto,0.8555555555555556,90.74074074074075
qwen-coder-target,Inductor,0.2814814814814815,23.14814814814815
qwen-coder-target,Ultra,1.0,100.0
