model,prompt_label,avg_score,pass_rate
gpt-oss-target,Estricto,0.9814814814814815,97.22222222222221
gpt-oss-target,Inductor,0.3888888888888889,31.48148148148148
gpt-oss-target,Ultra,0.9685185185185184,95.37037037037037
llama,Estricto,0.6851851851851852,35.18518518518518
llama,Inductor,0.5685185185185185,17.59259259259259
llama,Ultra,0.75,44.44444444444444
mistral-target,Estricto,0.5388888888888889,26.851851851851855
mistral-target,Inductor,0.37777777777777777,41.66666666666667
mistral-target,Ultra,0.8240740740740741,77.77777777777779
qwen-coder-target,Estricto,0.7870370370370371,83.33333333333334
qwen-coder-target,Inductor,0.2814814814814815,25.0
qwen-coder-target,Ultra,1.0,100.0
